,puuid,username
56,d_wV9fhHz_Ht9ti80ZbCIW66zQjRT59QNWrVwX2ZN55_PSz8KWebAyXmqWZhjfiWxoCBl5MPhGeqBQ,Suna Shogun Sama
57,DeleUH0EKZlYB7Tg37lwQvxUpr8Iw9fPEVg092xz7A5ZC4ivE0Iz0KdlNwYFpFltE6yc4kUSTdk0VQ,zeroz
58,_67YKAZNpXIOGfKE_rFAw1npZJt3r9BVYvckApphTe3x8iSmTek9bvwlxII4-5cVRh5r7cqLhiMZVA,WayneDwops
59,sgGg-mLAGoSMGvKGBmIBfykqpr34FPL8PKRL2_cSEe8cikDmU9s63LCNAxwpEDauEJEWdaXTEFh2fw,dtro18
60,EcL-IYfaYgfnU7k8-qjbufFY6L8kHCiNirDpghWOcYZrvTDNanFvK4LZQBefA6Ir5EfUwJkEqAbM5g,Kyusung
61,s3XTTAkXemn-ac9qLaz2I5fzqBd4MakGwwhy9tKCv6KU1CFy8ycwHSNn9nNh_kuBAQjLr_jb-n9gNA,Doopliss1
62,lvXH187vsEr3T2g6OjIvQIbeonQ4SpexjkXObMXUtUfUFK51DeFsCA4afx9kyG_Z0ovHIjapLuidAQ,isKOPPEN
63,fJ4R3Pz9GyAQ7WUDTa67AjcqPh4OedLVnaPQ9OZZpj5l-NQFrQxMclH4a3DizLjQT4mXDS3YI98S2g,HotGuy6Pack
64,WrH6T-yaPJqsleO4AHEk9od4AsicZdneJVVk50H7Q95lMM1t_wKp28SqIPws_KVwM4vAtSoNoYHhmw,Qualification
65,zhxYzS270LitToINBFWJNSQnYfr-__-uzznYYdiIz4NnHmOl7Mbzc-XElshRoQsDNiTGlTgRq4HNRQ,LegendaryLaser
66,XUcNEMfSeMtIjik3iL-5_OXWu9nsRwIglBJoqqa2a6kZok79cAICBfBWq4m3JZTXTfwEtMxNQlectw,  Yazawa N1co
67,ckY4_rTymTNP7zXXfleQLuxkZOPeWMeSl54GbqFhY9tfSsPLT3m8KinX5Z5Dw_nCDGF6iusE4SZXXQ,Lloth
68,SOsfHDatjODNEt-rHx5y6E3z8nq-cqFLbLDZnzRFOK7r3fW7Klss3li2-bO0xnxNh84ei9gg5LkrSQ,zelooperz
69,8i7k9kvuR6_9vdBsFhJRI1fGUl3f-LGbNQ012WWfPWkOnacXawz9qvHhTDevr86khrNob8E46UoGVA,Ran Out of Wit
70,nBDh97AExDttbx2XCrWQXxjblobmq8MBqcNcxvl72Hq9zGx_sqQyrKLLlAp7kiDdIXbZ1O5EH5vUgA,AllGirlsRTheSame
71,Axq9qTjqli1bdXjq2QazJn5qxyfvuRGbKee-V_6Dj89H52bld1EZMKaRHYCu-yGlOx7dStJO81IogQ,LittleFiery
72,2jAa_3JzkTPSr4SECyoRKIQhAKp8xq5bFIJQOBUQSXdYcBw-tJcjG_1kLSzce8Q0YPQnuTqde3isYQ,U ARE ALL TRASH
73,pkMja2Uh8_aOBzKeDkQPMlvU31KCZg-n987119kglc1384BP0nwDy4Xf5_Xf6vZYRKKM6NRDfDje4Q,Peng Yu Yan 1
74,DsbxjSrj-3hLf647hfTbHjOA856gzhvO4sxNXPWlRU3uTlfDTwLVyQCZrGveEakBN-rQtM1yaJY-cA,Han Yi
75,KYT36iQwaiIrQXSxIRPyBl1bJG8f-jbQfDCXfFWMui7TpKwPeXufSrG3dUGioFnIEN-nf1kvYDYq7Q,LB gotoe11
76,jTUGzJxNyX32oAuo6zZ1VLAiF0EUHx_1U3m4MMMi5YpFNJxBCvw0W0kpWB5b_iFhOVn9K8fWiZrd4g,Last Savant
77,Uv1p7nRIItPT7RJk2l1_LNPY44EOpOY6D_HmCjqP_xsEgHDk8WtMAH_z1bV6HyQSl51bVF_sxvZ4Ew,Windperson
78,8tbcWzB8PBahmBJSMtoMKvB9D4ovmqpr0ljMSb87VE7UTMdCAPjCTddZbtrvWf5p7QNnWTyb0D2gsA,Chime2
79,VOOpKqLc7f9uMJK_ENmWCOLQquERL0Nxmju_CJso4hZBnPOOKWC1aFvivsy3Cu9c2OFUGSB_eYF4kg,Chuc T
80,gwSu-EI-_c3MHHcgdB_y2U74PkY9Hd4jFLt0Q37YzPP8rbQ-RBUoJLJWnmY5E3tLz0e8MEB3znxZnQ,Bounty
81,5Na3V1UIdK34WiGSexmTSJn0jf87oJ9SILUBOcH0vXhbEoetiTqgIAmyi9PYRItw4J3ng0Gdo6OqGQ,Noodlz
82,xRD-QbwP-nYi6iE3Wlyncil_ExbdL8swS-P1LEItFCP8EmHKIlkcYyu4iicnK4Sj7_79u5EzYtzZrQ,Magearna
83,c919bagT_Ve0ZudlAU4of6jtt9oz0DKyJZkVVnSjbqP333scnI9nDV_OVyboeGRtFhragr3EJbwCKQ,OpTic WaFFleS
84,KJwIeTD7v_1k-rBovyxBzvjE4HgjBTHBeQT3oisLxhN2rDU9EtpxinGcos76OA2a0Q4EXigCIhEaXA,yasshak
85,YeQZgWVqoOk0kVjlAe5dFiqIhCkuvJiHH269VzajRDG5ynkF3v9VYa2fhk5sNxXJXXf2oWZkx5kdiQ,Daystatic
86,WioH4v-UdkX5LSl6At_IQqMaAkLh2mdUeFprlwBRa4-JuuYjn_yHvPc3RtR-Y28UKkw9Xar-Okf-2w,Fishlord
87,oUXG6BvtpwDmxMjKJn9zhyKh1tApmrbBRmut5J5WyEQkaiFQznctRtdKSU1DrJg5NdhiJoafDkIX2A,Colazzz
88,Y6Cz4-LPj8_VOpLdj_7DbWOh8mbxbcn_MBX4t_2Fh_7pEnAtCD47h8Mz3tA8AKQZuD6AjKf8uh9tpg,toreshi
89,e1bpwWNS0ajHVxz2eug-uKshYQMyG4pZaktzJa5pi4xTZuFHp8PdOgonhOcDJ7zEYbn4mgVVyJ7w1g,champwithoutbelt
90,TRb8etAh6DAdP4McZQhVgyLw2F2p4q9XOR-dNWKu55WNRUQt0X98djGVWaVN1NFu7v0loNMCwWwl-w,Shaminion
91,HDMXzB_GBqFBdibbBgBN5Qu32NpJsE1ryRo3maF6zZYlhKAiqOuhbtunG9CTdyR2AnqIJNE4iAqsew,hunbuying
92,OTT4hP_suqRbKork1hwA3RZ8cN0ChMwaP1TG8Hdt46qFBNiJD5_Xg6EEZHKoX8P8vS7WiaLZ8aSCZw,Shorthop
93,4ySQay637CskXdWVnDm86bV3LQ-k7wDJRAane7lpJqZfE-0V1UnLFbRWBGbl4Dixkt173zgWEr-cAg,Dragowski
94,DTzfAnraPRSwXkPSDWq_lCx4tFD1e0ECKtOMvCdgzpii5rA2usW0Qm4AyhcbhLmuUS3dHmqWVt_VNw,ioki
95,HB5Y7q2BVudFZXvNTxy5XM3V8O2DPZOGl1ZWgW2H0SXLAm1AXtf_EB_E7RQnOkDfV1tlOsH7BRPM0g,Waraight
96,lqh_eu79rMs3L4pjEIgwbZ4uMm959nE6jkz25mcZKauvIdbrJR8BZUHP8vtqHo38DyvXbhyp2SD4dg,The Big Time
97,I8sTNtgXJDekX94X5j7y1BHe0RwiStcQr2L7xOtM0ZHLCqDgIC3AdgsD2uWzOZz5oHKYa8rvNbvQiw,George Boosh
98,GOtY1ApraFO-A0Vs6w9uQgTOUPmBQh9ZtOD_1ZlYsldz1IR9DOR6kolDWh6DwH5uXor7PKuFkx8n4g,Arctic Myths
99,rwfqfzgNCYy5I50QsRxEfAMat9VPwTw2h8oet4e2GAUqjvIPly6qmcAuCiigK8Q3L330IM7A22Dy0w,Jiu Jiu
100,oZCYtzbhQXY5MskBIH813EysLrgBU_edq1AKqrsPC8x39toAeYy2K8SVXlN7hv8lHvk3IX65HHqCJQ,chenchenlol
101,P6H79C4-iPz6CJt4u3_ExGomznxwfc0MzmwZniXxdOZMJf4KuwWZvAwMOv-t9cQkQKjX7uEbY8vb4w,Zile
102,Jv3xWccjFuu8vsVYVtffEfjFbzwp3K5J101k4gs_lWldDQngZNBeP8oJsjxA22OkapHzn48NzEGm_Q,Retired Hexyn
103,rjDuwHrm0Anbj195fpkcA1A-7Ix7JvH3b6zZrkGau3k8c4Cm8T3l9PI_v16VAYrEp-VfQ_Jcaapncg,ur mom r all fat
104,jf9cM5MRPAYhE0i8saEY4YSIXnmx2cJWU5zmhf73Muv5HrEjY34218IMAAnb5MD5GUo6VTdmLKtvqg,GenjisLastBreath
105,GwMo66e79IySLf3cAVexMO0Y4yIiFJFvimRBHUFOTILYZKESgpRPUJUewzNQZtPh2ZXf1sVmaTYFmw,happy game
106,nAAbgigTqiqdJmg5WEny6TZyOL9th3XsnQw4MspMM1HNhH6y7AfWjh1vXCC_6_QXCZykNqoM4pMGxA,Pingpaddler
107,B9wcyEjhQT-bnZE4rhr3mPI11XuapjX7Xsemmpox1rmKADW7RaIvGGiMJaZzBWc2fQusL4VkzkEg3w,wx NAtongtiandai
108,8X3LpcUJvn92Mdazv_5mEDKdLSJkiji8qDDeZuBhhi7COTZUmxHZklrawlBylD_3lVbJuprddGxAUA,Eyla
109,FWAsWqEH9CbHmLYDzdOTz58z9G0zkdfakEmEx3agxyRYKcSLUpyTG3tS_L24rauz1C-72kOlEYzlVw,DTC Jiansheng
110,joFXJze0xPY42TRytNhcUCJmhVfCeETKS1mjAJHPqdxdDF6mBlNoHBLs7IwmYlOxoCnJ2bmYnI12Uw,Perfect illusi0n
111,MY8XzVP9KQ6Xb_3QpJ7X52qd_njnAUGfX6qTWJuhoVgcTyn6QCPcYK-XN8VckOPhWp-dTDpLq3SM5g,Doojeeboy
112,iikHv2-_95v7d63IxPaQUNQvQShj6AWLDHfPNbA9uVJ6yPYQ4VGa7pLVs5KURFFq22Ovm7RBvI43UA,Sum
113,EBT2grIPgS7RNRFyKamTShCeH4Xg07iCIUOuOzLjnysdFQXh9a38US8OVXtXg7ZDMXhEsSd4ZR1VTA,Utopian Mindset
114,7zMqCPn4PlW74ij3dTbZGl-QpxksIhw_Y9kaecPdj_XrmrOuIN4esky7w3taccJsM8AZByEDuM0ZNg,Aireech
115,loWQnb9rw71XmLT0TkEydqUStu9vIt9wAgO6IStDeg20RzXyNGpvkNmb_zzT7ihSM2eQoxWlB0cAwA,GDOG
116,-oIL9n0GFPwaakhORMExoV9ETCTlt8CTc3hHAznSOziXBUvv_3-ZO2WhnnhcNfqWS2idUOZnM8TPjA,jchan3580
117,BYWB-4h-qpScJ-d05WpMNxFDVRYs9h1nL0--_wJRmSwKYVRfQT0nuoOHw2uVGLl7aT16xRzKv7qbiw,97KR
118,Vpjm2VWqZmRLG0C8tJNOa2cy1FGn62YwXc7xN-Whd5ugBU2HLFATzj75mmi2v3HWFJomAiN5jdo8Dw,wu wei wu ju
119,fgjPW8ZH56W-FWB-r0ZUl6cBfo_OSVSYJfo4F2b6C5pWoFHsriNnUFZli8dsLtHZId6r6-nmXMqyzg,Arkam19
120,vatPHmxB4xQzEjq7YfTYp_mWnxKafq9fsGYD8bOygcR0S2rtY_HwjY-vFn20Zc7Wjs4QAB-p5d28FA,gutguy10
121,E9C4PhguUWQ1mMDW28nARgGEyg5g2XRft1SmMbTRAEoAJX3utTj8RDVAmpU3FoLqQ6ic4j8obsW2Hw,Kaiwing1
122,BgQ9GUmsQC7wOzMhADRYcdmmr7B04hwD-LGHuk9oZnnGvGJTUNvceoNcBqLbUCpk7PyfE-APorNVcw,Tos8719
123,u089iBLyjQtnTFsNswMmSqhzBqwURWg4yvT_zOnbNkSlS1ST6QGPKZokUe5wCUtAyrJCFwwXTnKqwQ,Pentius
124,FmHPreJWiJgGcsSUPUuNqaORMiW4eW2hQP36xSzt3Es_GJIwpnSACBBM6kSsWoweLTz9hgKD2kGd5Q,Nappy
125,T5ti0IMcFmL6xMbz0qRPwd3S22K3dxgnqRjOZGv_qExdX_-pcXEXOJ0SJ5kH-PuHkSib9t--XRRu5g,92i
126,seQswdoP7y2pUfGxRkCm35b0iwju9ais5qbvVhmy1s5oSifcrMaZIAiLEQC9maYR-Vqjv6GRXXz5_Q,I am not Lemon
127,6h0ET7ulB9K5IhMjwcmnmlSgMBAo2Gd7Xwxz1KcGcIEfYBnFpK-u4MYva1RT27g0WFCx5d8rY_AOUQ,BerkleyHS Intern
128,Rx8BnqeKf5mpW0ypS9KyKbaJSVTOMIbNbJSL0_5BlmMXyDSe2BcQjSiHLneKsgAr2NgZ3FFkxH5npw,Revenge of Avian
129,qYFdb0vV9Dw_tbaDYbG437gIR31Cx3S9nGxF4HMyrpLhcB9JnHV7yQ7wz0QT4BZbwqRO_egyItBfBA,PsycheGlitch
130,MAUi810RdRyb9bd5Ufm3BZIlB443xfUd-1GjBSm72x1xJwUGI--NPGmYeEsD93ObYOYzJgzqrj35Zw,endermaniac
131,iSIMHZZZsYI-4opkPVyrS1jbKoybTbDHnSw85qP2iHateDdaVJl_69HyyeHof4Kiw9dd2JbtDP8gKA,All Legends Die
132,xoeHwI6Vdj_XRiQHfP-qEbtkaostzzSrR1xzwROYS6wV_k5rAEQG2bZkbhOJFeb0WQ9Yx4CDrHV6KQ,ControlMageEGirl
133,osRawUCqVXzVTdXXQAY1JfPnz30nqcgL21QrJfB-nzmGUOBXDC_rdfy-Yd0i-QA2UkbfrpsfCcr57A,Aiden Yasuo
134,JTafLDvDVysnjgoFyV_Ewb6t4Ksz9AE3S3Z53-VS-_ilrNRWQrgR9_WAfbpu9PWcezdCRdAAqprkiA,Cecil B Heimer
135,DFZ6Gi4H67iHIqdMwGm8XSWg4_NMkF3rF0yELdn4nxK04pQEtJ5E7_378odN3y6P9hKQ5qzeVkLVMw,Ethanviper2000
136,ZjdplMepCaEWkHPGlvSUjie0BXSYqDiddkAOKZF1kpQSXxSrsswSEkkSnJMay032_IFb9FuZ5WMOvQ,Cylainius
137,d-LCXDkrB9dxGNcgOepnZWgk6pfUl2Wka-5HZNvZzGsychEUL4orTQLC-4ZvICfRTR_Y1bSahY_beg,The Battle Beast
138,FaLW31n9NXFcVY42bcVYLu2I66ohekvlexktSegHEToNl36ZIgSpL_2eejmf-noYxY87tOFEd2-vnw,Dadumdum
139,OLR78HTfCoyk7jJhAhOWH_YtC5Nke7yy58wtbilEbCtLZW2P75pUtYBukNbfR4LbhqkEaQvLIoLGnA,Justinian I
140,CSciR3qqHW5BM_Z88FQHecFPyc6hg34MvJMcThN04QduohZDOUrhObv4SJxV9rqWr1HI3oiFQAei_A,Alexey
141,C4POOyHec3mBcDt7WvYeCdXFNhQqYuc8XQoayLlscxKRyeJT2pXISxJMydE22AeW4K-x5xUxnbzlBw,bsavvage
142,qsb9E4IhkQGn0L7QN9zARE9bePVjmS-6Ly2li6_7bEsxUi4Ny_o2I6K7NLoOQq-jGS2jxSR1txKVIw,ME FARM NO MOVE
143,PkKdyaGJGaigaC4uuXC9GDUxx8eZr7MsAigm-HN6WeKDGgODjYup2TuvTA0E2PruS2LyxKxERgVHEQ,love1
144,M6DGjGYXscw4ft2CUq7wiQ8HYjtF7Q6DC92HkDwrhf-itWI-m4cUfmYXnXJUAdHXwyDjepnfRwPzrQ,LMQ XiaoWeiXiao1
145,Wgj4Idzm4qNFHGRaeMWVXLebFSlbMyW-bCDn1GQjsGyEFG7cgZRRd1ceiiNI5oCXGiE3JnZ39Y9g7g,manspider011
146,eSJjyybQmVRoMCbun3nJiiaygljKNxjglMFFdaTmf9gbUGPoSMd1DOzYXUYCx6EgBv0aMrGng9JWkQ,WHY PP HARD 808
147,GfxFCbHbqFJfxGYjrKUfajDUAAHvyflq0jSwKpRLwHg8_aiFfsP-e6L9zCy-2ej7T_hX7uvBBo8pSg,yonaguni enjoyer
148,vfzaPUKPB32hD72QU51QHZ-kQLiHD5-DnwoqRCy2c0evaGaJVenWFsAUm5hZBqogLNd2WO4E3fjTzw,A Ninja
149,xsWRkbjiFxcOMM5qPZQkJt2XchFTaJXRrEZ_56djEcbOj2f2M2PqXSHPq70hjJ8xdnlPGzwHDgaYJQ,Ken Carson
150,DAIUCUl8BLnMVJ8Ykj3WNYOpbF4Cxwemh1Dd6-DT40vh-hYjBrOw4UPYgfaHi_EYt4C9Dt5nvxKZOw,CY Blood
151,xhf8fuqpEXmkJZ1BguXOEphssmtF-tNl7entqM6IGZWd3pdbrFsZ1XCiZXekFaptsUDbObp2nupS-g,Vakin
152,EHHUKcbnALfthNRP5rFJgyX0ddn1_A5v59GbjUuTc-rl2aLx_aGBHK_HhBSTMhErVkGumFmFnXqhMQ,coblsobr
153,LkBwi8B1ol5Of1jG6wbdHmAfJ2Eqb_dTfV6d4ItjwoMRv5ORKIHwM4I2Ux6KoYqa2mea3Bke9t3mtA,C9 Avril
154,iPQYC2pd_WOasjGQRLepKNuezdvsLMCKrzFNRIctWn9s-A4VRz6Y1sIcci46jUHESDunQzX_yOe0Ig,Beginning
155,blhFuIoZ3oULx51Q9CJuQ3EYUKzW_xEUS7XVemQcCegZghoiF5Zn1iLMZcA2IECWqV6eqJMot4z7_Q,Love Xi
156,zlcRkUZCBVMzPGvXhRR84rq-T1edcUQxsIC8q_6tLJ5sQlNLMxB-znhdqOpKFkt657hTK_1QNDKEoQ,vetheo
157,av0gjx050_rJL16qKYQO5fun8fZXiU8ufmIsGEDYbtwC2TEZHwftvt0yoXllMqBzXx0yl6wiaOV_ew,Rune Scimitar77
158,-4V02NDnkxyL9blAvVIjAdDUPv9Tn24-WE9KKAB3L5VEI6hnCC9kMDEtnFvuHg3VJ7eyG5CO6-cowQ,Nonstopping
159,fYQthv82-INl22tFes48FmykytWvu7BIhZItkwZYltSzXSs9RuBwdc5HOKs5Mo3G2fM7VNbeV8TMiQ,Papi Dravie
160,gVJp1ng1McZZ4GOEfCEg-io2MNhS8PC0W9kPjKQAEksYewJGDjjCuFI6l3Z6djZDHC4-41Te6Kun5A,iegg
161,SfXEcsk970GAD21J4qDLc_75ThUKPQxW7VbV5KRUtAgxfnxDXk8qidibEBsBggYiVHOjDML_GaQVLg,Dark Matter
162,6-DWczhvRrSOCi_0clbOS7wOvqE--BYgpENkCJyhBS2MPvd8RqskHg9_IA-zt05VaUw0mE6Y-Er1aw,xradtiwentx
163,66IHSDg-6AzWK4AEmuCQBgSAUDF9jGMF2xY_SYtjOVD27XeVtaiitBfW_ZectBZAefY1YtgqPV-6nQ,perry1
164,nbJAhl_mstTp11cHclUHxca0NoJZkRFCdmay69lziDVusSP4fR4J6N7q5DZJxmrxjnwHHp53UZhAOg,Jome
